Action Item,Date Created,Completed
Friday Architecture White Paper Meeting restart.,2021-12-01T20:50:44.072Z,
"Technical focus - architecture discussions - more frequent meetings. ",2021-12-01T20:48:22.048Z,
"Conference talks reading/watching group. ",2021-12-01T20:47:48.881Z,
"Finding more ways to have developer open-ended discussion. ",2021-12-01T20:42:03.314Z,
"Revist the agenda for next time: @Chrissy and @Jessica - Break out sessions for both days? A little more time in breaks? Maybe day 2 quarterly. ",2021-12-01T20:37:19.716Z,
"Two days half day while virtual. ",2021-12-01T20:35:01.640Z,
"Create a shared doc for conferences and where people are going, attending, speaking, etc.",2021-11-15T18:55:12.159Z,
Schedule a meeting on professional development,2021-11-15T18:50:27.930Z,
"Ask UCLA for documentation feedback. ",2021-11-15T18:49:39.368Z,
"Keep prodding each other about documentation when lacking. ",2021-11-15T18:46:59.139Z,
"Future sprints should include a documentation ticket to help improve the integrity of our documentation. ",2021-11-15T18:44:45.568Z,
"Jessica to schedule a meeting about onboarding processes. How do we get our technical contributors productive and successful at the start. ",2021-11-15T18:43:19.388Z,
"Talk about products in production in the break-out sessions on Wednesday's All Hands. ",2021-11-15T18:32:20.901Z,
Jessica to schedule new staff onboarding conversation,2021-11-02T21:47:08.185Z,
Join Samvera Documentation IG/WG,2021-11-02T21:46:50.781Z,
Make Hyrax image ad chart publishing a dev congress topic.,2021-11-02T21:39:14.324Z,
Start talking about common off-cycle work before each workcycle ends.,2021-11-02T21:37:09.839Z,
tom will plan to present to the Surfliner team about ingest. Surfliner Brown Bags?,2021-11-02T21:36:02.207Z,
schedule a meeting including Gabriella to plan UCSD's move to Comet production. What is MVP? What are the features that we should focus on to make Comet exciting to UCSD stakeholders.,2021-11-02T21:26:12.731Z,
"start holding MRs with user facing changes for PO acceptance ",2021-10-12T21:41:33.490Z,
spend some time in the last sprint optimizing comet CI,2021-10-12T21:27:55.129Z,
keep on pairin',2021-09-28T21:45:34.754Z,
make sure every dev has a working dev environment,2021-09-28T21:39:24.489Z,
fix up dev env docs now that we're on Compose,2021-09-28T21:37:56.244Z,
what doesn't kill you makes your dev env stronger?,2021-09-28T21:37:28.255Z,
stack full glasses,2021-09-28T21:36:39.136Z,
keep talking about deploy status in response to slack notifications,2021-09-28T21:34:00.895Z,
swarm quickly when finding hyrax dev challenging. goal of swarms should be to fix the sign posts,2021-09-28T21:30:58.750Z,
"More pairing, less struggling...",2021-09-15T21:49:16.407Z,2021-09-28T21:35:46.699Z
